id,username,email,password,role,clinic_id,date_joined,last_login
17,clinic_016,clinic16@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,16,2025-03-20 15:33:32,2026-04-09 15:33:32
18,clinic_017,clinic17@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,17,2025-10-06 15:33:32,2026-03-20 15:33:32
19,clinic_018,clinic18@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,18,2025-12-20 15:33:32,2026-04-05 15:33:32
20,clinic_019,clinic19@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,19,2024-08-28 15:33:32,2026-03-26 15:33:32
21,clinic_020,clinic20@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,20,2025-02-08 15:33:32,2026-04-07 15:33:32
22,clinic_021,clinic21@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,21,2025-12-22 15:33:32,2026-03-22 15:33:32
23,clinic_022,clinic22@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,22,2024-05-06 15:33:32,2026-03-20 15:33:32
24,clinic_023,clinic23@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,23,2025-02-19 15:33:32,2026-03-17 15:33:32
25,clinic_024,clinic24@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,24,2024-02-28 15:33:32,2026-04-14 15:33:32
26,clinic_025,clinic25@healthcare.ai,pbkdf2_sha256$1200000$1Ty5G44vSlOVnj5kNdzwhW$SzGaDdPEDZQsJM37Jh1HxWxlMx6LXm5KJ3OV1xdRQjs=,CLINIC_USER,25,2025-02-14 15:33:32,2026-03-23 15:33:32
